c14_ages,c14_sig
1421,32
1551,33
1475,21
1289,32
1270,21
1552,49
1191,30
1475,60
1585,70
1470,120
1220,45
1260,70
1280,33
1230,40
1298,31
1321,32
1312,32
1325,31
1115,22
1255,34
1222,34
1355,40
1055,30
905,75
1175,29
1370,40
1480,70
1265,26
1300,30
1405,40
1200,60
1300,40
1340,90
1440,45
1213,36
1280,40
1365,70
1305,65
1630,35
1181,35
1280,40
1450,40
1580,40
1580,40
1610,40
1500,40
1230,40
1230,40
1580,40
1560,40
1660,40
1640,40
1490,40
1460,40
1330,40
1600,40
1420,40
1229,17
1200,26
1051,25
945,30
1130,45
1290,40
1410,40
1370,40
1210,40
1340,50
1490,40
1251,21
1272,22
722,30
1327,32
1500,40
1370,40
1420,40
1186,51
1186,51
1182,44
1334,30
1440,45
1710,75
1260,70
1335,65
1570,31
1517,32
1555,45
1538,42
1555,24
1400,60
1290,30
1430,35
1330,55
1400,40
1410,40
1530,40
1580,40
1580,40
1357,44
1357,44
1397,44
1345,44
1340,38
1339,40
1388,37
1525,43
715,65
1420,40
1390,70
1220,60
1300,40
1300,60
1490,60
1295,16
1229,14
1302,15
1311,18
1291,17
1280,17
1312,20
1269,16
1181,14
1258,14
1171,14
1408,43
1258,22
1142,34
1313,38
1219,25
1189,31
1273,24
925,39
1240,40
1570,60
1540,40
1300,40
1440,40
1320,40
1340,40
1369,33
1454,33
1480,25
1520,30
1185,30
1152,30
1186,30
1199,30
1260,29
1150,75
1430,54
1193,33
1233,39
1314,28
1309,70
1141,32
890,40
1263,26
1244,27
1473,32
1460,32
1465,55
1580,50
1224,32
1165,33
1527,64
1490,60
1470,60
1283,36
1222,34
1155,38
1470,45
1600,65
1540,65
1385,65
1560,35
1345,65
1230,50
1395,40
1418,22
1350,60
1180,60
1355,65
1140,55
1239,30
1125,26
1098,23
1020,22
1277,30
1350,60
1180,60
1100,60
1210,21
1015,23
1480,70
1325,35
1280,75
1309,55
1390,65
1110,35
1408,42
1589,55
1345,42
1444,32
1159,29
1160,40
1220,40
1150,70
1350,80
1160,40
1280,40
1480,90
1230,40
1255,44
1352,49
1511,44
1090,60
1300,35
1530,50
1560,40
1430,22
1060,70
1205,65
1430,130
1300,120
1360,100
1275,36
1085,20
1500,40
1130,40
1350,35
1200,35
1230,35
1320,40
1360,40
1380,40
1200,40
1480,40
1430,70
1175,65
1350,30
1135,100
1240,60
1240,70
1440,50
1290,60
1380,40
1435,55
1670,55
1375,55
1520,66
1321,35
1555,50
1440,50
1400,65
1275,20
1590,40
