name,c14_age,c14_sig
0,1421,32
1,1551,33
2,1475,21
3,1289,32
4,1270,21
5,1552,49
6,1191,30
7,1475,60
8,1585,70
9,1470,120
10,1220,45
11,1260,70
12,1280,33
13,1230,40
14,1298,31
15,1321,32
16,1312,32
17,1325,31
18,1115,22
19,1255,34
20,1222,34
21,1355,40
22,1055,30
23,905,75
24,1175,29
25,1370,40
26,1480,70
27,1265,26
28,1300,30
29,1405,40
30,1200,60
31,1300,40
32,1340,90
33,1440,45
34,1213,36
35,1280,40
36,1365,70
37,1305,65
38,1630,35
39,1181,35
40,1280,40
41,1450,40
42,1580,40
43,1580,40
44,1610,40
45,1500,40
46,1230,40
47,1230,40
48,1580,40
49,1560,40
50,1660,40
51,1640,40
52,1490,40
53,1460,40
54,1330,40
55,1600,40
56,1420,40
57,1229,17
58,1200,26
59,1051,25
60,945,30
61,1130,45
62,1290,40
63,1410,40
64,1370,40
65,1210,40
66,1340,50
67,1490,40
68,1251,21
69,1272,22
70,722,30
71,1327,32
72,1500,40
73,1370,40
74,1420,40
75,1186,51
76,1186,51
77,1182,44
78,1334,30
79,1440,45
80,1710,75
81,1260,70
82,1335,65
83,1570,31
84,1517,32
85,1555,45
86,1538,42
87,1555,24
88,1400,60
89,1290,30
90,1430,35
91,1330,55
92,1400,40
93,1410,40
94,1530,40
95,1580,40
96,1580,40
97,1357,44
98,1357,44
99,1397,44
100,1345,44
101,1340,38
102,1339,40
103,1388,37
104,1525,43
105,715,65
106,1420,40
107,1390,70
108,1220,60
109,1300,40
110,1300,60
111,1490,60
112,1295,16
113,1229,14
114,1302,15
115,1311,18
116,1291,17
117,1280,17
118,1312,20
119,1269,16
120,1181,14
121,1258,14
122,1171,14
123,1408,43
124,1258,22
125,1142,34
126,1313,38
127,1219,25
128,1189,31
129,1273,24
130,925,39
131,1240,40
132,1570,60
133,1540,40
134,1300,40
135,1440,40
136,1320,40
137,1340,40
138,1369,33
139,1454,33
140,1480,25
141,1520,30
142,1185,30
143,1152,30
144,1186,30
145,1199,30
146,1260,29
147,1150,75
148,1430,54
149,1193,33
150,1233,39
151,1314,28
152,1309,70
153,1141,32
154,890,40
155,1263,26
156,1244,27
157,1473,32
158,1460,32
159,1465,55
160,1580,50
161,1224,32
162,1165,33
163,1527,64
164,1490,60
165,1470,60
166,1283,36
167,1222,34
168,1155,38
169,1470,45
170,1600,65
171,1540,65
172,1385,65
173,1560,35
174,1345,65
175,1230,50
176,1395,40
177,1418,22
178,1350,60
179,1180,60
180,1355,65
181,1140,55
182,1239,30
183,1125,26
184,1098,23
185,1020,22
186,1277,30
187,1350,60
188,1180,60
189,1100,60
190,1210,21
191,1015,23
192,1480,70
193,1325,35
194,1280,75
195,1309,55
196,1390,65
197,1110,35
198,1408,42
199,1589,55
200,1345,42
201,1444,32
202,1159,29
203,1160,40
204,1220,40
205,1150,70
206,1350,80
207,1160,40
208,1280,40
209,1480,90
210,1230,40
211,1255,44
212,1352,49
213,1511,44
214,1090,60
215,1300,35
216,1530,50
217,1560,40
218,1430,22
219,1060,70
220,1205,65
221,1430,130
222,1300,120
223,1360,100
224,1275,36
225,1085,20
226,1500,40
227,1130,40
228,1350,35
229,1200,35
230,1230,35
231,1320,40
232,1360,40
233,1380,40
234,1200,40
235,1480,40
236,1430,70
237,1175,65
238,1350,30
239,1135,100
240,1240,60
241,1240,70
242,1440,50
243,1290,60
244,1380,40
245,1435,55
246,1670,55
247,1375,55
248,1520,66
249,1321,35
250,1555,50
251,1440,50
252,1400,65
253,1275,20
254,1590,40
